dataset,eps,FGSM_targeted,FGSM_untargeted,PGD_targeted,PGD_untargeted,clean_accuracy
MNIST,0.1,0.0078125,0.14453125,0.01953125,0.21484375,0.9885
MNIST,0.2,0.109375,0.57421875,0.75390625,0.98046875,0.9885
MNIST,0.3,0.4375,0.92578125,1.0,1.0,0.9885
MNIST,0.31,0.4609375,0.9296875,1.0,1.0,0.9885
MNIST,0.32,0.5,0.953125,1.0,1.0,0.9885
MNIST,0.33,0.51171875,0.96875,1.0,1.0,0.9885
MNIST,0.34,0.5234375,0.9765625,1.0,1.0,0.9885
CIFAR-10,0.00784313725490196,0.171875,0.54296875,0.2578125,0.67578125,0.8524
CIFAR-10,0.01568627450980392,0.3046875,0.81640625,0.6953125,0.94921875,0.8524
CIFAR-10,0.03137254901960784,0.44140625,0.9453125,0.98046875,1.0,0.8524
CIFAR-10,0.06274509803921569,0.41796875,0.984375,1.0,1.0,0.8524
